,batch_size,lr,epochs,activation_fn,optimizer,losses_arr,test_loss,test_accuracy,model,train_loss,train_accuracy,valid_loss,valid_accuracy
0,256,0.004,10,GELU(approximate='none'),AdamW,"[(0.32810007204544334, 92.15825375170532, 0.11681700357322251, 96.86723973256925), (0.10414827747811725, 97.25511596180083, 0.09410952796310955, 97.65042979942693), (0.08335437847883281, 97.72442019099591, 0.08283834722971165, 97.8414517669532), (0.07086595670669499, 98.12278308321964, 0.0719958304625926, 97.89875835721108), (0.06158344699997369, 98.33015006821283, 0.07196903144789517, 98.29990448901623), (0.05392084063156565, 98.54297407912688, 0.06854866362588681, 98.07067812798472), (0.05159786142642631, 98.51568894952251, 0.06450403640731643, 98.45272206303724), (0.043335074191000744, 98.881309686221, 0.06545994841167214, 98.08978032473735), (0.04406267672329938, 98.70668485675307, 0.056219162288501705, 98.37631327602674), (0.038364400907151534, 98.95225102319236, 0.053595470781362446, 98.66284622731614)]",0.04724533467597295,98.73997709049256,model_1,0.038364400907151534,98.95225102319236,0.053595470781362446,98.66284622731614
1,256,0.0025,10,GELU(approximate='none'),Adam,"[(0.442233658541924, 90.65211459754434, 0.14588562328841648, 96.44699140401146), (0.12847467535961862, 96.91132332878581, 0.10982016806331496, 97.24928366762178), (0.09875058541519093, 97.51159618008187, 0.09022652969447453, 97.87965616045845), (0.08262875443550607, 97.94270122783082, 0.0778184857002416, 97.87965616045845), (0.07308147582236936, 98.03001364256481, 0.07364233021251679, 98.16618911174785), (0.06733392537270366, 98.2537517053206, 0.06970932642220312, 98.08978032473735), (0.06180276993474076, 98.27557980900409, 0.06592968625746802, 98.18529130850048), (0.05708722367374503, 98.3956343792633, 0.056693470996111606, 98.45272206303724), (0.051910300262648444, 98.59754433833561, 0.05763007206726666, 98.49092645654251), (0.04722105903787307, 98.7612551159618, 0.05735741809949834, 98.3381088825215)]",0.05740981624341161,98.62542955326461,model_2,0.04722105903787307,98.7612551159618,0.05735741809949834,98.3381088825215
2,256,0.004,10,GELU(approximate='none'),Adam,"[(0.3217152800135528, 92.5293315143247, 0.10405612881255355, 97.24928366762178), (0.10025476236989032, 97.46793997271487, 0.08755956348369776, 97.82234957020057), (0.07824041883665737, 97.89904502046384, 0.07468217184772465, 97.86055396370583), (0.06895926384207009, 98.14461118690315, 0.06738358460644255, 98.1279847182426), (0.06197200727088715, 98.29195088676671, 0.059090064717910354, 98.49092645654251), (0.05225904363920305, 98.53206002728513, 0.05685195491045229, 98.52913085004775), (0.04455250494192274, 98.77216916780355, 0.05263523718052203, 98.49092645654251), (0.042261436455266865, 98.881309686221, 0.0513850483249912, 98.58643744030563), (0.04033745969301356, 98.81582537517053, 0.05127807543172706, 98.54823304680038), (0.03757709303558239, 98.89768076398363, 0.048622896791273, 98.8538681948424)]",0.050295931113220296,98.54906452844597,model_0,0.03757709303558239,98.89768076398363,0.048622896791273,98.8538681948424
3,256,0.0025,10,GELU(approximate='none'),AdamW,"[(0.43805012071116395, 90.82128240109141, 0.13539492579847717, 96.80993314231137), (0.12481867308180784, 96.98226466575717, 0.10611607064461867, 97.1919770773639), (0.10000288850207283, 97.37517053206003, 0.0959636831921174, 97.53581661891117), (0.08284783644533092, 97.83356070941338, 0.0802374467139827, 97.93696275071633), (0.07232844851473995, 98.14461118690315, 0.06950995502806666, 98.31900668576885), (0.06627887572386743, 98.28649386084584, 0.0683663454166513, 98.39541547277936), (0.05974851493580117, 98.37926330150069, 0.06090599133098478, 98.43361986628463), (0.056004159378972906, 98.59754433833561, 0.05974269243599464, 98.43361986628463), (0.05126971811066302, 98.6193724420191, 0.05717490117253296, 98.47182425978987), (0.04772212909100041, 98.79399727148704, 0.057330941180445065, 98.45272206303724)]",0.0544043157958049,98.51088201603666,model_3,0.04772212909100041,98.79399727148704,0.057330941180445065,98.45272206303724
4,256,0.001,10,GELU(approximate='none'),Adam,"[(0.7906918043426733, 85.8281036834925, 0.2886379592512034, 95.49188156638013), (0.22106630353208778, 96.01637107776261, 0.18352291218530825, 96.42788920725883), (0.15657772122919153, 96.8512960436562, 0.1453374594393068, 96.56160458452722), (0.12741109469415057, 97.10777626193725, 0.12824576351766714, 96.86723973256925), (0.11314079397371976, 97.37517053206003, 0.11210948664912067, 97.28748806112702), (0.09766812144896832, 97.65893587994543, 0.1039626847707098, 97.34479465138492), (0.09113223567950612, 97.74079126875853, 0.09576992871882012, 97.93696275071633), (0.08565112190836936, 97.83901773533424, 0.08944158990010832, 97.8414517669532), (0.08115924328199675, 98.0081855388813, 0.08651102588306525, 97.76504297994269), (0.07345114956204596, 98.14461118690315, 0.08177979901191043, 97.87965616045845)]",0.06374377100726675,98.35815196639939,model_4,0.07345114956204596,98.14461118690315,0.08177979901191043,97.87965616045845
5,256,0.001,10,GELU(approximate='none'),AdamW,"[(0.7966689186906099, 85.50613915416099, 0.2893237008918664, 95.89302769818529), (0.22208077993594608, 96.21828103683492, 0.176668467275165, 96.73352435530086), (0.16026536632446117, 96.65484311050477, 0.14165566830033902, 96.96275071633238), (0.128115833254498, 97.12414733969986, 0.12015423290253596, 97.134670487106), (0.11205068374395696, 97.45156889495226, 0.10620139842388623, 97.49761222540592), (0.10132511536022813, 97.58799454297407, 0.09717843782622812, 97.68863419293218), (0.09328973456302411, 97.72442019099591, 0.09244640208389379, 97.70773638968481), (0.0850219446351551, 97.8663028649386, 0.08515379501874945, 97.89875835721108), (0.07987299151830426, 97.9481582537517, 0.08424621180425743, 97.8414517669532), (0.0746238921129362, 98.10641200545702, 0.08009203587300229, 98.10888252148997)]",0.063511993966459,98.1672394043528,model_5,0.0746238921129362,98.10641200545702,0.08009203587300229,98.10888252148997
6,256,0.0001,10,GELU(approximate='none'),Adam,"[(1.9415103607971378, 51.44338335607094, 1.6333055770158085, 70.56351480420248), (1.4151633234206196, 80.53478854024556, 1.2124073534321536, 87.48806112702961), (1.064320708879182, 89.70259208731241, 0.937253708017362, 91.91977077363896), (0.8304584575024666, 92.8130968622101, 0.7427462229869882, 93.18051575931233), (0.672077565141134, 93.97544338335607, 0.6165059348004368, 94.04011461318052), (0.5608953622451095, 94.55934515688949, 0.5268882880465918, 94.99522445081185), (0.4824081609437768, 95.0231923601637, 0.45355094372941523, 94.59407831900668), (0.42186017409190635, 95.21418826739428, 0.39846271417088586, 95.33906399235912), (0.3728364279585678, 95.58526603001364, 0.35757337657747207, 95.396370582617), (0.33834444226867344, 95.67803547066849, 0.33079130652413097, 95.5300859598854)]",0.3141236299717868,96.10538373424971,model_6,0.33834444226867344,95.67803547066849,0.33079130652413097,95.5300859598854
7,256,0.0001,10,GELU(approximate='none'),AdamW,"[(1.9801578422653074, 48.70395634379263, 1.6742978563736821, 67.87010506208215), (1.445807974107594, 77.71350613915416, 1.2428181570830978, 85.2531041069723), (1.0890702907710577, 88.84038199181447, 0.9592017322124019, 90.65902578796562), (0.8521424888653775, 92.08731241473397, 0.7623445407025794, 93.06590257879657), (0.6874495332888334, 93.59345156889495, 0.6313041671640893, 94.05921680993315), (0.5735929060925565, 94.32469304229195, 0.5380055691360175, 94.42215854823304), (0.4902123415616492, 95.08867667121419, 0.46783574372103015, 95.14804202483286), (0.4291260157942284, 95.19236016371077, 0.4117496647545579, 95.1862464183381), (0.38217718218716235, 95.4706684856753, 0.36587278098294934, 95.28175740210123), (0.3433876090778335, 95.65075034106411, 0.3371569192170414, 95.58739255014326)]",0.32964429118197214,95.3799159984727,model_7,0.3433876090778335,95.65075034106411,0.3371569192170414,95.58739255014326
8,256,1e-05,10,GELU(approximate='none'),AdamW,"[(2.2738421538614477, 15.798090040927695, 2.2305905940084085, 20.706781279847185), (2.1970652278025837, 25.096862210095498, 2.1551433999536145, 31.060171919770774), (2.124151870797796, 36.04911323328786, 2.085927707805105, 41.48997134670488), (2.0540964057110505, 45.2169167803547, 2.020715884470097, 49.4937917860554), (1.9878738499468378, 53.00409276944066, 1.9522123416948, 56.82903533906399), (1.9249091817574806, 59.541609822646656, 1.8907644287562986, 62.40687679083094), (1.8647763361937353, 63.80900409276944, 1.8292825747811463, 66.32282712511939), (1.8065167509810174, 67.65075034106412, 1.7741456501349564, 69.53199617956065), (1.7506291281282496, 70.7612551159618, 1.721604718041625, 72.76026743075454), (1.6971613467894342, 73.13506139154161, 1.6650808328429971, 74.70869149952244)]",1.6549778107515316,73.76861397479955,model_9,1.6971613467894342,73.13506139154161,1.6650808328429971,74.70869149952244
9,256,1e-05,10,GELU(approximate='none'),Adam,"[(2.2645785193553887, 20.114597544338338, 2.225247387808624, 26.800382043935052), (2.187057135453166, 32.889495225102316, 2.1540121528913323, 38.14708691499523), (2.1150341663776935, 42.87585266030013, 2.0832198131619575, 46.189111747851), (2.04714680581919, 49.74079126875853, 2.017490242590991, 52.07258834765997), (1.9812137736727726, 54.9031377899045, 1.9493804574582045, 57.058261700095514), (1.9182922584070516, 58.521145975443375, 1.8917410844376572, 59.885386819484246), (1.8586631766315371, 61.22783083219645, 1.8302155304774856, 62.731614135625605), (1.800307308668004, 63.470668485675304, 1.776605578070042, 65.34861509073544), (1.7446900440661026, 65.92633015006821, 1.7207182428329015, 67.25883476599809), (1.6912607370262094, 68.19645293315143, 1.6656229661096247, 69.91404011461319)]",1.6566753687408873,69.56853760977472,model_8,1.6912607370262094,68.19645293315143,1.6656229661096247,69.91404011461319
